id,pokemon,type,species,height,weight,abilities,ev_field,catch_rate,base_friendship,base_exp,growth_rate,egg_groups,gender,egg_cycles,hp_base,hp_min,hp_max,attack_base,attack_min,attack_max,defense_base,defense_min,defense_max,special_attack_base,special_attack_min,special_attack_max,special_defense_base,special_defense_min,special_defense_max,speed_base,speed_min,speed_max,inserted_date
eb3516b4-bfb0-4b89-82d4-bb43d9fa3423,Abomasnow,"Grass, Ice",Frost Tree Pokémon,2.2 m (7′03″),135.5 kg (298.7 lbs),"1. Snow Warning, Soundproof (hidden ability)","1 Attack, 1 Sp. Atk","60 (7.8% with PokéBall, full HP)",50 (normal),173,Slow,"Grass, Monster","50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,92,170,311,75,139,273,92,170,311,85,157,295,60,112,240,2024-04-26 17:20:38.457000
be921b40-8775-430a-8aa3-266df7ef0d11,Mega Abomasnow,"Grass, Ice",Frost Tree Pokémon,2.7 m (8′10″),185.0 kg (407.9 lbs),1. Snow Warning,"1 Attack, 1 Sp. Atk","60 (7.8% with PokéBall, full HP)",50 (normal),208,Slow,"Grass, Monster","50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,132,242,399,105,193,339,132,242,399,105,193,339,30,58,174,2024-04-26 17:20:38.476000
6547a254-e258-47d4-adae-fa0319c8065b,Abra,Psychic,Psi Pokémon,0.9 m (2′11″),19.5 kg (43.0 lbs),"1. Synchronize, 2. Inner Focus, Magic Guard (hidden ability)",1 Sp. Atk,"200 (26.1% with PokéBall, full HP)",50 (normal),62,Medium Slow,Human-Like,"75% male, 25% female","20 (4,884–5,140 steps)",25,160,254,20,40,152,15,31,141,105,193,339,55,103,229,90,166,306,2024-04-26 17:20:38.478000
4fef2750-6d7b-4a81-900d-6c5ba43a1260,Absol,Dark,Disaster Pokémon,1.2 m (3′11″),47.0 kg (103.6 lbs),"1. Pressure, 2. Super Luck, Justified (hidden ability)",2 Attack,"30 (3.9% with PokéBall, full HP)",35 (lower than normal),163,Medium Slow,Field,"50% male, 50% female","25 (6,169–6,425 steps)",65,240,334,130,238,394,60,112,240,75,139,273,60,112,240,75,139,273,2024-04-26 17:20:38.479000
79f7c2fc-ce0a-4c05-ae2f-7d20816a9b34,Mega Absol,Dark,Disaster Pokémon,1.2 m (3′11″),49.0 kg (108.0 lbs),1. Magic Bounce,2 Attack,"30 (3.9% with PokéBall, full HP)",35 (lower than normal),198,Medium Slow,Field,"50% male, 50% female","25 (6,169–6,425 steps)",65,240,334,150,274,438,60,112,240,115,211,361,60,112,240,115,211,361,2024-04-26 17:20:38.480000
22ca6d41-1315-473f-a1e2-6f95f4b34add,Accelgor,Bug,Shell Out Pokémon,0.8 m (2′07″),25.3 kg (55.8 lbs),"1. Hydration, 2. Sticky Hold, Unburden (hidden ability)",2 Speed,"75 (9.8% with PokéBall, full HP)",50 (normal),173,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",80,270,364,70,130,262,40,76,196,100,184,328,60,112,240,145,265,427,2024-04-26 17:20:38.481000
783dbde8-a0ee-41a6-a54e-fd5316235783,Aegislash Shield Forme,"Steel, Ghost",Royal Sword Pokémon,1.7 m (5′07″),53.0 kg (116.8 lbs),1. Stance Change,"2 Defense, 1 Sp. Def","45 (5.9% with PokéBall, full HP)",50 (normal),234,Medium Fast,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,50,94,218,140,256,416,50,94,218,140,256,416,60,112,240,2024-04-26 17:20:38.482000
198dacf9-3426-4378-b359-14aa814c8aa0,Aegislash Blade Forme,"Steel, Ghost",Royal Sword Pokémon,1.7 m (5′07″),53.0 kg (116.8 lbs),1. Stance Change,"2 Attack, 1 Sp. Atk","45 (5.9% with PokéBall, full HP)",50 (normal),234,Medium Fast,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,140,256,416,50,94,218,140,256,416,50,94,218,60,112,240,2024-04-26 17:20:38.483000
bc41702f-88c1-436f-9030-1ebe8ab28bda,Aerodactyl,"Rock, Flying",Fossil Pokémon,1.8 m (5′11″),59.0 kg (130.1 lbs),"1. Rock Head, 2. Pressure, Unnerve (hidden ability)",2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),180,Slow,Flying,"87.5% male, 12.5% female","35 (8,739–8,995 steps)",80,270,364,105,193,339,65,121,251,60,112,240,75,139,273,130,238,394,2024-04-26 17:20:38.485000
c1bc894b-9e0f-4a8e-9488-04c74979c9af,Mega Aerodactyl,"Rock, Flying",Fossil Pokémon,2.1 m (6′11″),79.0 kg (174.2 lbs),1. Tough Claws,2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),215,Slow,Flying,"87.5% male, 12.5% female","35 (8,739–8,995 steps)",80,270,364,135,247,405,85,157,295,70,130,262,95,175,317,150,274,438,2024-04-26 17:20:38.486000
